Indicator Code,Indicator Name,First_Year,Last_Year,Number_of_Years,Coverage_Percent
EN.GHG.CO2.RT.GDP.KD,Carbon intensity of GDP (kg CO2e per constant 2015 US$ of GDP),1988,2024,37,56.060606060606055
ER.GDP.FWTL.M3.KD,"Water productivity, total (constant 2015 US$ GDP per cubic meter of total freshwater withdrawal)",1988,2022,35,53.03030303030303
EN.GHG.CO2.RT.GDP.PP.KD,Carbon intensity of GDP (kg CO2e per 2021 PPP $ of GDP),1990,2024,35,53.03030303030303
EN.GHG.FGAS.IP.MT.CE.AR5,F-gases emissions from Industrial Processes (Mt CO2e),1990,2024,35,53.03030303030303
EN.ATM.PM25.MC.M3,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",1990,2023,34,51.515151515151516
AG.LND.FRST.K2,Forest area (sq. km),1990,2023,34,51.515151515151516
EN.GHG.CO2.ZG.AR5,Carbon dioxide (CO2) emissions (total) excluding LULUCF (% change from 1990),1991,2024,34,51.515151515151516
EN.GHG.CH4.ZG.AR5,Methane (CH4) emissions (total) excluding LULUCF (% change from 1990),1991,2024,34,51.515151515151516
NY.GDP.COAL.RT.ZS,Coal rents (% of GDP),1988,2021,34,51.515151515151516
EN.GHG.TOT.ZG.AR5,Total greenhouse gas emissions excluding LULUCF (% change from 1990),1991,2024,34,51.515151515151516
EN.GHG.N2O.ZG.AR5,Nitrous oxide (N2O) emissions (total) excluding LULUCF (% change from 1990),1991,2024,34,51.515151515151516
NY.ADJ.DKAP.CD,Adjusted savings: consumption of fixed capital (current US$),1988,2021,34,51.515151515151516
NY.GDP.PETR.RT.ZS,Oil rents (% of GDP),1988,2021,34,51.515151515151516
NY.GDP.NGAS.RT.ZS,Natural gas rents (% of GDP),1988,2021,34,51.515151515151516
NY.GDP.MINR.RT.ZS,Mineral rents (% of GDP),1988,2021,34,51.515151515151516
NY.GDP.FRST.RT.ZS,Forest rents (% of GDP),1988,2021,34,51.515151515151516
AG.LND.FRST.ZS,Forest area (% of land area),1990,2023,34,51.515151515151516
NY.GDP.TOTL.RT.ZS,Total natural resources rents (% of GDP),1988,2021,34,51.515151515151516
